"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Time delta from previous captured frame","Sequence Number","TCP Flags","This is an ACK to the segment in frame","TCP payload","Payload","Header Length","Info"
"2680","10:11:11.241121","192.168.0.1","239.255.255.250","SSDP","378","","0.103982000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2681","10:11:11.345196","192.168.0.1","239.255.255.250","SSDP","370","","0.104075000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2682","10:11:11.449228","192.168.0.1","239.255.255.250","SSDP","315","","0.104032000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2683","10:11:11.553119","192.168.0.1","239.255.255.250","SSDP","354","","0.103891000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2684","10:11:11.657207","192.168.0.1","239.255.255.250","SSDP","386","","0.104088000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2685","10:11:11.761305","192.168.0.1","239.255.255.250","SSDP","315","","0.104098000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2686","10:11:11.865047","192.168.0.1","239.255.255.250","SSDP","374","","0.103742000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2687","10:11:11.969196","192.168.0.1","239.255.255.250","SSDP","368","","0.104149000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2688","10:11:12.073288","192.168.0.1","239.255.255.250","SSDP","315","","0.104092000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2689","10:11:12.177141","192.168.0.1","239.255.255.250","SSDP","370","","0.103853000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2690","10:11:12.281150","192.168.0.1","239.255.255.250","SSDP","380","","0.104009000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2691","10:11:12.354590","192.168.0.101","34.240.107.124","TCP","66","15.082595000","0.073440000","1736","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=1736 Ack=1737 Win=1002 Len=0 TSval=2003308412 TSecr=916629264"
"2692","10:11:12.375797","34.240.107.124","192.168.0.101","TCP","66","0.021207000","0.021207000","1737","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=1737 Ack=1737 Win=120 Len=0 TSval=916644368 TSecr=2003278094"
"2693","10:11:16.450524","192.168.0.101","52.210.184.200","TCP","66","15.080243000","4.074727000","6183","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=6183 Ack=1939 Win=8022 Len=0 TSval=3282755050 TSecr=4097736572"
